,Podcast name,Episode name,Dominant topic,Episode duration (in mins),Description of the episode,url of the podcast episodes
0,The Christian Therapist ,How to Live the Best Life in 2019,0,8,"Living your own life is so much more rewarding than watching the lives of others play out on social media. How are you spending your time? Today would be the best time to choose how to spend the 24 hours you are given each and everyday you are blessed to see. Listen in as I challenge you to make 2019 the best year ever. Your rating and review are appreciated. The information being shared on this podcast, is for informational and educational purposes only, and not meant to be a replacement for therapy with a licensed mental health professional. I’m also not a medical professional. Therefore, if any information being shared is related to health, consult with your Medical Dr. before attempting to do anything shared on this podcast.  ---   This episode is sponsored by  · Anchor: The easiest way to make a podcast.",https://anchor.fm/the-christian-therapist/episodes/Their-Opinions-Dont-Matter-e1fnjnv
1,A Satanist Reads the Bible,Strategic Plan 2020,0,14,This will be a shorter and somewhat atypical episode because I’ll be writing here about the blog and podcast themselves and my plans for them for next year.,https://anchor.fm/asatanistreadsthebible/episodes/The-Faith-of-a-Satanist-e1f8cn0
2,A Satanist Reads the Bible,Why You Should Read Books You Disagree With,0,29,You’re wrong about something. That I can say with certainty. There are things I’m wrong about and I don’t know it; there are things you’re wrong about and you don’t know it.,https://anchor.fm/asatanistreadsthebible/episodes/The-Faith-of-a-Satanist-e1f8cn0
3,Bible at Bedtime ,Wilderness to fulfillment ,1,34,Tonight’s reading is Matthew 4 and Joshua 1-3. These passages speak of two who step out of the wilderness moving toward purpose. As we move into 2020 from 2019 what could these steps mean for you? May you have sweet sleep and dreams of fulfillment tonight.   ---   This episode is sponsored by  · Anchor: The easiest way to make a podcast.,https://anchor.fm/ambermarie_l/episodes/Psalm-146--The-beginning-of-David-e17i27f
4,Daily Bible Reading,"145: Leviticus 14 (Laws Concerning Leprosy, Continued)",1,12,"Reading Leviticus 14 from the World English Bible (WEB). Break Thou the Bread of Life sung by and used with permission from Michael Eldridge. Lyrics by Mary A. Lathbury, music by William F. Sherwin, 1877.",https://anchor.fm/daily-bible-reading/episodes/203-Deuteronomy-7-Gods-Chosen-People-Must-Be-Holy-ert2hg
5,Daily Bible Reading,149: Leviticus 18 (Unlawful Sexual Relations),1,6,"Reading Leviticus 18 from the World English Bible (WEB). Break Thou the Bread of Life sung by and used with permission from Michael Eldridge. Lyrics by Mary A. Lathbury, music by William F. Sherwin, 1877.",https://anchor.fm/daily-bible-reading/episodes/203-Deuteronomy-7-Gods-Chosen-People-Must-Be-Holy-ert2hg
6,St. Mary's Aggie Catholic Homilies,"November 10, 2019 - Fr. Greg",2,15,,https://anchor.fm/aggiecatholichomilies/episodes/The-Prodigal-Son--March-27--2022---Fr--Will-e1gcvo8
7,St. Mary's Aggie Catholic Homilies,"November 10, 2019 - Fr. Brian",2,28,,https://anchor.fm/aggiecatholichomilies/episodes/The-Prodigal-Son--March-27--2022---Fr--Will-e1gcvo8
8,St. Mary's Aggie Catholic Homilies,"September 15, 2019 - Fr. Greg",2,16,,https://anchor.fm/aggiecatholichomilies/episodes/The-Prodigal-Son--March-27--2022---Fr--Will-e1gcvo8
9,Evolve Church,Revenge,3,49,"If you only focus on revenge, you'll never see God's vengeance.  .",https://anchor.fm/kenneth00/episodes/Im-Saved-Whats-Next-Pt--2-e1ghsvq
