,Podcast name,Episode name,Dominant topic,Episode duration (in mins),Description of the episode,url of the podcast episodes
0,"Quietmind Yoga: Full Length Yoga Classes with Jeremy Devens - Hatha, Vinyasa, Yin and Gentle","Vinyasa for Hips, Shoulders and Neck - 1 Block",0,60,,https://anchor.fm/quietmindyoga/episodes/188-Yoga-to-Relieve-Upper-Back-Tension-e1ebr6v
1,"Quietmind Yoga: Full Length Yoga Classes with Jeremy Devens - Hatha, Vinyasa, Yin and Gentle",Gentle Yoga For All The Joints to Improve Mobility,0,57,,https://anchor.fm/quietmindyoga/episodes/188-Yoga-to-Relieve-Upper-Back-Tension-e1ebr6v
2,"Quietmind Yoga: Full Length Yoga Classes with Jeremy Devens - Hatha, Vinyasa, Yin and Gentle","Advanced Morning Vinyasa for Strength, Flexibility and Balance; Emphasis on Hips and Hamstrings",0,57,,https://anchor.fm/quietmindyoga/episodes/188-Yoga-to-Relieve-Upper-Back-Tension-e1ebr6v
3,Healthy Emmie, #007: Why You’re GAINING WEIGHT On a Vegan Diet & What to Do,1,7,"Hey #HealthyHunnies!  In this video, I talk about three reasons why you may not be losing weight on your vegan or plant-based diet.",https://anchor.fm/healthyemmie/episodes/131-Starch-Solution-Mistakes-That-Keep-You-Fat-e1e87a7
4,Healthy Emmie,#015: Why You're STILL FAT ON A VEGAN DIET: Explaining Why You Can't Lose Weight on a Plant-Based Diet,1,10,,https://anchor.fm/healthyemmie/episodes/131-Starch-Solution-Mistakes-That-Keep-You-Fat-e1e87a7
5,Healthy Emmie,#003: 5 Secrets of Losing Weight on a Vegan Diet,1,10,"Hey #HEALTHYHUNNIES!  In this episode, I’m talking about 5 truths that you need to know before you start your weight loss journey.",https://anchor.fm/healthyemmie/episodes/131-Starch-Solution-Mistakes-That-Keep-You-Fat-e1e87a7
6,Dr Berg’s Healthy Keto and Intermittent Fasting Podcast,Eat Bacon & Lose Your Fat,2,11,"It's free and very enlightening.   Dr. Berg talks about how bacon and other fats can improve a condition called Insulin Resistance. Insulin is behind belly fat and fats are the only foods that are neutral when it comes down to insulin spikes. Insulin is the hormone that controls whether you burn fat or burn sugar. If you are trying to lose weight but unsuccessful, especially in the belly area, then apply the recommendations in this podcast. Eric Berg DC Bio:  Dr. Berg, 51 years of age is a chiropractor who specializes in weight loss through nutritional & natural methods. His private practice is located in Alexandria, Virginia. government & the Justice Department, ambassadors, medical doctors, high-level executives of prominent corporations, scientists, engineers, professors, and other clients from all walks of life. He is the author of The 7 Principles of Fat Burning.     ABOUT DR.",https://anchor.fm/drberg/episodes/20-Signs-of-TOO-MUCH-Stress---Dr--Berg-e1gep2g
7,Dr Berg’s Healthy Keto and Intermittent Fasting Podcast,Does Looking at Sweets Spike Your Blood Sugar?,2,5,"It's free and very enlightening.  The answer is no – not in a fasting state. Looking at sweets and carbs will not cause an insulin spike.   The primary triggers of blood sugar are glucose and things that turn into glucose. But, anything you eat has the potential to trigger insulin just for the fact that you ate it. If it’s more carbohydrate, it will trigger your blood sugar more. If it’s less carbohydrate and more fat, it will trigger your blood sugar less.   Chronic high insulin can lead to insulin resistance.  Other triggers that can cause a blood sugar spike:  • Cortisol – Stress  • GIP  • Protein – especially if it’s low fat  Dr. Eric Berg DC Bio: Dr. Berg, 51 years of age is a chiropractor who specializes in weight loss through nutritional & natural methods. His private practice is located in Alexandria, Virginia. government & the Justice Department, ambassadors, medical doctors, high-level executives of prominent corporations, scientists, engineers, professors, and other clients from all walks of life. He is the author of The 7 Principles of Fat Burning. ABOUT DR.",https://anchor.fm/drberg/episodes/20-Signs-of-TOO-MUCH-Stress---Dr--Berg-e1gep2g
8,Dr Berg’s Healthy Keto and Intermittent Fasting Podcast,How Diabetes is Diagnosed,2,6,"It's free and very enlightening.   Dr. Berg talks how diabetes is diagnosed. If your fasting glucose is less than 126mg/dl, there are high chances you have diabetes. 100-125 mg/dl is considered insulin resistance. A lot of people have said being on keto diet and IF has helped them with their blood sugar. Listen to the full podcast as Dr. Berg explains symptoms of diabetes.   Dr. Eric Berg DC Bio:  Dr. Berg, 51 years of age is a chiropractor who specializes in weight loss through nutritional & natural methods. His private practice is located in Alexandria, Virginia. government & the Justice Department, ambassadors, medical doctors, high-level executives of prominent corporations, scientists, engineers, professors, and other clients from all walks of life. He is the author of The 7 Principles of Fat Burning.     ABOUT DR.",https://anchor.fm/drberg/episodes/20-Signs-of-TOO-MUCH-Stress---Dr--Berg-e1gep2g
9,Dr Berg’s Healthy Keto and Intermittent Fasting Podcast,Grass Fed Products Goes Beyond Just Omega 3 Fatty Acids,3,4,"It's free and very enlightening.  In this podcast, Dr. Berg talks about the benefits of grass-fed animal products that goes way beyond omega 3 fatty acids.  Grass-fed • Omega 6 and Omega 3 ratio: (7)-(1) • 5x more omega 3 than grain-fed • 3x more CLA • More vitamins, minerals, trace minerals, antioxidants and carotenoids  Grain-fed  • Omega 6 and Omega 3 ratio: (15)-(1) • Phytates  • *Glyphosate Residue  • Allow 20x more glyphosate tolerance for animal feeds than crops  Dr. Eric Berg DC Bio: Dr. Berg, 51 years of age is a chiropractor who specializes in weight loss through nutritional & natural methods. His private practice is located in Alexandria, Virginia. government & the Justice Department, ambassadors, medical doctors, high-level executives of prominent corporations, scientists, engineers, professors, and other clients from all walks of life. He is the author of The 7 Principles of Fat Burning.  ABOUT DR.",https://anchor.fm/drberg/episodes/20-Signs-of-TOO-MUCH-Stress---Dr--Berg-e1gep2g
