,Podcast name,Episode name,Dominant topic,Episode duration (in mins),Description of the episode,url of the podcast episodes
0,Morning Cup Of Murder,Sketch of a Killer - January 9 2020 - Today in True Crime History,0,8,"Life is full of a series of events that, if done differently, could lead to an entirely different life. A man was arrested and sentenced to 70 years in prison for the murder of an infant. A man who, after being paroled after just 10 years, went on to take the lives of close to 20 women. Had this man’s life, who was arrested on January 9th 1992, gone differently, these women may still be alive.",https://audioboom.com/posts/8057450
1,Morning Cup Of Murder,The Happy Face Killer - January 23 2020 - Today in True Crime History,0,9,"People will go to great lengths to end a relationship. Especially one where they don’t feel safe. On January 23rd 1990 a woman named Taunja (Tanya) Bennett was killed near Portland, Oregon. Police had no leads and no suspects. That was until a woman showed up with a shocking story that was, as they would learn years later, a little too convenient.",https://audioboom.com/posts/8057450
2,Morning Cup Of Murder,The Bega School Girl Murders (Worst Crime In Australia) - Oct 28 2019 ,0,10,"Who two sadistic personalities pair up, they can leave behind them an unimaginable body count. On October 29th 1945 a named Leonard Lake was born. Alone, he was already a monster. But when he met his perfect partner in crime, the two took the lives of at least 11 men women and children. But, realistically, their body count was closer to 25.",https://audioboom.com/posts/8057450
3,Supernatural Confessions,#6 - A Man Spent 10 Years Living in a Haunted Toa Payoh Flat,1,7,"Remember the old Iluma shopping centre at Bugis? You might have heard of rumours that the toilet there is haunted. Guest Edgar Saradetch had a first hand experience.   Also in this episode, Edgar shares how his family was too poor to move out, so they lived with the haunting in their old Toa Payoh flat for 10 years.  This recording was done in his car while we were driving around. During that time, I was dragged into a world people don't talk about. These are the stuff you don't find detailed online because people with real stories don't share it with the world. We deal with it internally and try to rationalise the weird things until they fade from memory. This channel is a way for me and others like me to talk about our experiences to find closure. This is also for those looking for answers because talking about their encounters in public will just get them ridiculed.  .",https://anchor.fm/supernaturalconfessions/episodes/131---Combing-her-long-hair--Haunted-Study-Room--Lonely-Road-in-Sabah-Wednesday-Podcast-e1gfada
4,The Fear The Walking Dead Podcast,“Ner Tamid; Leave What You Don't” Season 5 Episode 12 & 13 'Fear the Walking Dead' Review,1,36,"Charlie sees the light, and we’re introduced to a new group of villains, say hello to the Pioneers. April Whisenhant (@Aprilwhisenhant) and Benny Adams (@bennyjadams) talk all about it! Fear the Walking Dead is an American television series created by Robert Kirkman and Dave Erickson. It is a spin-off and a prequel series to the horror drama television series The Walking Dead, which is based on the comic book series of the same name by Robert Kirkman, Tony Moore, and Charlie Adlard. Set in Los Angeles, California, the series follows a dysfunctional family composed of high school guidance counselor Madison Clark, her English teacher boyfriend Travis Manawa, her daughter Alicia, her drug-addicted son Nick, and Travis' son from a previous marriage, Chris, at the onset of the zombie apocalypse. They must either revamp themselves or cling to their deep flaws as they come to terms with the impending collapse of civilization.  ---   This episode is sponsored by  · Anchor: The easiest way to make a podcast.",https://anchor.fm/fearthewalkingdead/episodes/Open-Your-Eyes-Season-10-Episode-7-The-Walking-Dead-Review-e92s1u
5,The Fear The Walking Dead Podcast,“Skidmark” Season 5 Episode 4 'Fear the Walking Dead' Review,1,44,"Our hosts @iamtimothymike, @kristaflentje, @aprilwhisenhant and @bennyjadams talk about the latest epsiode. Alicia, Morgan and Lucy find out the truth about the kids. Strand and Daniels conflict comes to a climax and Charlie makes a new friend in Daniel. We also talk about our Favorite Kill Segment and our thoughts on  “How not to Survive a Zombie Apocalypse”. Fear the Walking Dead is an American television series created by Robert Kirkman and Dave Erickson. It is a spin-off and a prequel series to the horror drama television series The Walking Dead, which is based on the comic book series of the same name by Robert Kirkman, Tony Moore, and Charlie Adlard. Set in Los Angeles, California, the series follows a dysfunctional family composed of high school guidance counselor Madison Clark, her English teacher boyfriend Travis Manawa, her daughter Alicia, her drug-addicted son Nick, and Travis' son from a previous marriage, Chris, at the onset of the zombie apocalypse. They must either revamp themselves or cling to their deep flaws as they come to terms with the impending collapse of civilization.  ---   This episode is sponsored by  · Anchor: The easiest way to make a podcast.",https://anchor.fm/fearthewalkingdead/episodes/Open-Your-Eyes-Season-10-Episode-7-The-Walking-Dead-Review-e92s1u
6,Unsolved Murders: True Crime Stories,E150: “Ballots and Bullets” - John Clayton,2,44,"In 1888, the state of Arkansas was rampant with corruption and ballot tampering. So when state representative, John M. Clayton, lost his bid for Congress, he challenged the results and put his life in danger.  Sponsors! Best Fiends - Download FREE on the Apple App Store or Google Play. That’s FRIENDS without the R, Best Fiends!.",
7,Unsolved Murders: True Crime Stories,E120: Arnold Rothstein ,2,63,"How did one of New York’s most notorious gamblers lose his final hand? This Kingpin's rise to power in the mob scene is just as intense as his fall. To help us solve the case, we enlisted the hosts of Parcast's other Podcast Kingpins for some expert advice!  We're excited to present this special crossover episode with hosts of KINGPINS (a Parcast Podcast). If you are interested in other Kingpin or Queenpin stories search KINGPINS where ever you listen to podcasts and subscribe! Sponsors! Amazon Prime - Season 1 is available now. Watch the New Season of Lore out now, only on Prime Video.",
8,Conspiracy Theories,The Lincoln Assassination,2,46,"At the close of the Civil War in 1865, President Abraham Lincoln was killed by a conspiracy of Confederate sympathizers led by actor John Wilkes Booth. But some contend that the conspiracy didn't begin or end with Booth and his accomplices - someone much more powerful was pulling the strings. Parcasters - If you haven’t checked out Extraterrestrial, this week is the time to start! Catch up on our Dulce Base episodes now, and follow the riveting investigation of cattle mutilations in New Mexico.",
9,Unexplained Mysteries,“Easter Island” - Giant Heads,3,45,"Easter Island, named after the day Dutch sailors discovered it, is an island in the Pacific Ocean with hundreds of mysteriously large “heads.” They soar to an average 20 feet high and can weigh over 20 tons. Who built these heads and what is their significance? .",
