,Podcast name,Episode name,Dominant topic,Episode duration (in mins),Description of the episode,url of the podcast episodes
0,How to Trade Stocks and Options Podcast by 10minutestocktrader.com,Why Entry and Exit Points are Easier to Profit When Selling Options ,0,11,"On today’s episode we talk about how entry and exit points, thought to be the holy grail of importance by new traders is actually much easier than you would think if you change up your trading style. This allows me to be able to create more content and give you more tools, tips and tricks to trade faster and trade smarter!   ---   This episode is sponsored by  · Anchor: The easiest way to make a podcast.",https://anchor.fm/christopher-uhl/episodes/Stock-Market-Crash-Averted-e1g6bqh
1,How to Trade Stocks and Options Podcast by 10minutestocktrader.com,AMZN Trade Recap +20% On A Call Butterfly | How To Trade Stocks And Options Podcast,0,17,"So You Can Avoid Wasting Time And Money Choosing The Wrong Stocks! My Name is Christopher Uhl and I'm an Award Winning Trader, Entrepreneur, Author, Podcaster, Speaker, and Coach that partners with entrepreneurial traders and everyday investors looking to get ahead around the world to help them change their financial futures.",https://anchor.fm/christopher-uhl/episodes/Stock-Market-Crash-Averted-e1g6bqh
2,How to Trade Stocks and Options Podcast by 10minutestocktrader.com,Options Trading Delta Explained Easily (Or As Easily As I Possibly Can) ,0,14,"Options trading can be complicated, especially when you’re talking about all the different pricing models that go into creating the prices shown on your trade screen. In today’s episode we go in depth on Delta and talk about 3 different ways to use Delta within your own portfolio. This allows me to be able to create more content and give you more tools, tips and tricks to trade faster and trade smarter!   ---   This episode is sponsored by  · Anchor: The easiest way to make a podcast.",https://anchor.fm/christopher-uhl/episodes/Stock-Market-Crash-Averted-e1g6bqh
3,Sports Card Investor,"SICK ROI, CRAZY HITS: Prizm Draft Picks Basketball, Is This For Real?!",1,30,"Open boxes for fun, never for investment. At least that's what I normally say. But the new 2019 Prizm Draft Picks Basketball has me wondering if the power of Zion might rewrite the rules of basketball card investing. .",https://anchor.fm/sports-card-investor/episodes/Top-5-Sports-Cards-GOING-UP-e1gee6q
4,Sports Card Investor,BEWARE: A Zion Price Drop Is Coming!,1,30,"It took just one game for Zion to become a sensation, and his card prices have been on a sensational run. But WATCH OUT, because I think a drop is coming. In this episode, I show you the analytics that prove my case.",https://anchor.fm/sports-card-investor/episodes/Top-5-Sports-Cards-GOING-UP-e1gee6q
5,Sports Card Investor,"Luka Doncic: Buy, Sell or Hold?",1,34,"It's been a wild season for Luka's card values -- most are up 300%+ since the start of the season. So is now the time to sell? Or are you better off holding for the long-term, or even buying more? In this episode I draw comparisons to other players and prior seasons to try to best answer that question.  .",https://anchor.fm/sports-card-investor/episodes/Top-5-Sports-Cards-GOING-UP-e1gee6q
6,"Love Island Cast: Unofficial LoveIsland UK, USA & Australia Podcast with No Holds Barred",Love Island Cast UK Season 5 Curtis Pies Maura,2,30,,https://anchor.fm/cdrealitycast/episodes/Married-At-First-Sight-Australia-S9EPS33-35---The-Final-Commitment-Ceremonies-e1ghfq5
7,"Love Island Cast: Unofficial LoveIsland UK, USA & Australia Podcast with No Holds Barred",Love Island Cast AUSTRALIA Season 2 Cassie plays the game,2,18,Cassie's heads turned by the twin brother's Luke and Josh. Phoebe is not happy and Dave & Chris back her up.,https://anchor.fm/cdrealitycast/episodes/Married-At-First-Sight-Australia-S9EPS33-35---The-Final-Commitment-Ceremonies-e1ghfq5
8,"Love Island Cast: Unofficial LoveIsland UK, USA & Australia Podcast with No Holds Barred",Love Island Cast USA Season 1 The Families Visit the Villa,2,16,,https://anchor.fm/cdrealitycast/episodes/Married-At-First-Sight-Australia-S9EPS33-35---The-Final-Commitment-Ceremonies-e1ghfq5
9,Breaking Math Podcast,41: Reality Is More Than Complex (Group Theory and Physics),3,57,"Children who are being taught mathematics often balk at the idea of negative numbers, thinking them to be fictional entities, and often only learn later that they are useful for expressing opposite extremes of things, such as considering a debt an amount of money with a negative sum. Similarly, students of mathematics often are puzzled by the idea of complex numbers, saying that it makes no sense to be able to take the square root of something negative, and only realizing later that these can have the meaning of two-dimensional direction and magnitude, or that they are essential to our modern understanding of electrical engineering. Our discussion today will be much more abstract than that. Much like in our discussion in episode five, ""Language of the Universe"", we will be discussing how math and physics draw inspiration from one another; we're going to talk about what different fields (such as the real, complex, and quaternion fields) seem to predict about our universe.",https://anchor.fm/breakingmathpodcast/episodes/70-1-Episode-70-1-of-Breaking-Math-Podcast-Self-Reference-e1fvjmk
